Header,Group_name,User_name,How_many_remote_servers_websites_on_the_Internet_can_the_smart_coffee_maker_communicate_with,undefined_IP4_800_80,undefined_IPv6_800_80,undefined_IPv4_777_888,undefined_IPv6_777_888,undefined_IPv4_Any_source_port_Any_destination_port,undefined_IPv6_Any_source_port_Any_destination_port,Which_local_device_can_the_coffee_maker_communicate_with,When_the_smart_coffee_maker_communicates_with_the_motion_sensor_locally_which_source_port_numbers_should_it_use,When_the_smart_coffee_maker_communicates_with_the_motion_sensor_locally_which_destination_port_numbers_should_it_use,When_the_motion_sensor_communicates_with_the_coffee_maker_locally_over_UDP_which_internet_layer_protocol_source_port_number_and_destination_port_number_would_it_use,Can_the_smart_fridge_communicate_with_any_other_local_devices_beside_itself,How_many_local_devices_and_remote_servers_can_the_Vase_device_communicate_with,undefined_www_vaseupdater_com,undefined_www_vasefileserver_com,undefined_www_vasedb_com,undefined_www_vasefirmware_com,undefined_www_vaselinks_com,undefined_www_vasedatabase_com,undefined_TCP_IPv4_Any_Source_Port_443,undefined_TCP_IPv6_Any_Source_Port_443,undefined_UDP_IPv4_Any_Source_Port_Any_Destination_Port,undefined_UDP_IPv6_Any_Source_Port_Any_Destination_Port,ResponseTime,participant,valid_participant,What_is_your_age,Which_gender_do_you_most_identify_with,What_is_the_highest_degree_or_level_of_school_you_have_completed_If_you_are_currently_enrolled_in_school_please_indicate_the_highest_degree_you_have_received_,What_is_your_current_employment_status,What_is_your_annual_income,ResponseTime,participant,valid_participant,undefined_Pretending_to_be_someone_or_a_company_to_steal_users_information,undefined_Making_a_fake_website_that_looks_legitimate_to_steal_user_information,undefined_Sending_spam_emails_Defrauding_someone_online,undefined_Other_methods_for_stealing_information,undefined_Hacking_someones_computer,undefined_Tracking_your_internet_habits_to_send_advertisements_,undefined_I_Do_not_Know,undefined_The_certificate_provides_encryption,undefined_The_certificate_protects_information,undefined_The_certificate_shows_the_website_is_registered_and_valid,undefined_The_certificate_actively_is_secure_and_safe_against_malicious_stuff_including_hackers,undefined_The_website_is_trustworthy_and_has_proper_privacy_protection_and_is_accountable_for_information_use,SQL_injection_is_a_technique_to,The_difference_between_a_passive_and_reactive_Intrusion_Detection_System_is,Without_any_other_changes_in_the_default_settings_of_a_web_server_what_can_be_the_motivation_to_close_port_80,How_many_computer_programming_languages_do_you_know_Not_including_HTML,How_many_years_of_working_experience_do_you_have_in_network_operation_and_security_area,On_average_how_many_times_do_you_have_to_deal_with_computer_security_related_problems,undefined_Firewall,undefined_Antivirus,undefined_Intrusion_Detection_System_IDS,undefined_Secure_Shell_SSH,undefined_Pretty_Good_Privacy_PGP,undefined_Access_control_AC,undefined_Designed_a_website,undefined_Registered_a_domain_name,undefined_Used_SSH,undefined_Configured_a_firewall,undefined_Created_a_database,undefined_Installed_a_computer_program,undefined_Written_a_computer_program,undefined_https,undefined_lock_icon_on_the_page,undefined_certificate,undefined_website_privacy_statements,undefined_type_of_website,undefined_professionallooking_website,undefined_Other,What_is_the_main_definition_of_IoT,What_is_Access_Control_List,ResponseTime,participant,valid_participant,I_think_that_I_would_like_to_perform_this_analysis_frequently,I_found_the_analysis_unnecessarily_complex,I_thought_the_analysis_was_easy,I_think_that_I_would_need_the_support_of_a_technical_person_to_be_able_to_perform_the_analysis,I_found_the_various_components_in_this_analysis_were_well_integrated,I_thought_there_was_too_much_inconsistency_in_this_analysis,I_would_imagine_that_most_people_would_learn_to_use_this_analysis_very_quickly,I_found_this_analysis_very_cumbersome_to_perform,I_felt_very_confident_performing_the_analysis,I_needed_to_learn_a_lot_of_things_before_I_could_get_going_with_the_analysis,ResponseTime,workerId,assignmentId,valid_participant
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/plain,admysore,3,unchecked,unchecked,unchecked,unchecked,checked,unchecked,Any_local_device,888_225,Any_port_number,IPv4_123_50000,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,697952,b2619dded27a8d3cd18266c4fd15d3fac854203fc7e6569120c130612bf634659c687772dc9be53ede2a62eaa443b9d768c286aac701487bdd9f8bfedd832d2d,,1830_years,Woman,Bachelors_degree_e.g._BA_BS,Student,Less_than_20000,16177,b2619dded27a8d3cd18266c4fd15d3fac854203fc7e6569120c130612bf634659c687772dc9be53ede2a62eaa443b9d768c286aac701487bdd9f8bfedd832d2d,,checked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,checked,unchecked,checked,Inject_a_malicious_statement_to_the_database_through_a_website,Reactive_IDS_can_reprogram_the_Firewall_and_passive_IDS_does_not,Block_Hypertext_Transfer_Protocol_daemon,15,None,Once_every_year_or_less,checked,checked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,checked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,checked,unchecked,unchecked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,284390,b2619dded27a8d3cd18266c4fd15d3fac854203fc7e6569120c130612bf634659c687772dc9be53ede2a62eaa443b9d768c286aac701487bdd9f8bfedd832d2d,,7,3,5,3,7,2,7,3,4,2,59118,b2619dded27a8d3cd18266c4fd15d3fac854203fc7e6569120c130612bf634659c687772dc9be53ede2a62eaa443b9d768c286aac701487bdd9f8bfedd832d2d,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/plain,aknagu,2,checked,checked,unchecked,unchecked,checked,unchecked,Vase,80_443,800_80,IPv4_123_50000,Yes,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,unchecked,unchecked,unchecked,3349349,c6ade51fa3a6f8697e0ad5b3d0cc581bbabc551f779d0e7ec7061e9bd3c9479d0daaa32faf4b13b064127b6d69872ca18c349801a3c169fad1a61de44b5f55a5,,1830_years,Man,Bachelors_degree_e.g._BA_BS,Employed_part_time_less_than_40_hours_per_week,Less_than_20000,97613,c6ade51fa3a6f8697e0ad5b3d0cc581bbabc551f779d0e7ec7061e9bd3c9479d0daaa32faf4b13b064127b6d69872ca18c349801a3c169fad1a61de44b5f55a5,,checked,checked,checked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Inject_root_user_privileges_to_a_regular_user_without_using_the_graphical_user_interface_GUI_of_the_database,I_Do_not_Know,I_Do_not_Know,15,None,Once_every_month,unchecked,checked,unchecked,checked,unchecked,unchecked,checked,unchecked,checked,unchecked,checked,checked,checked,checked,checked,unchecked,checked,checked,checked,unchecked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,393045,c6ade51fa3a6f8697e0ad5b3d0cc581bbabc551f779d0e7ec7061e9bd3c9479d0daaa32faf4b13b064127b6d69872ca18c349801a3c169fad1a61de44b5f55a5,,1,2,5,9,7,3,4,8,7,2,69420,c6ade51fa3a6f8697e0ad5b3d0cc581bbabc551f779d0e7ec7061e9bd3c9479d0daaa32faf4b13b064127b6d69872ca18c349801a3c169fad1a61de44b5f55a5,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/plain,bsugar,2,unchecked,checked,unchecked,unchecked,unchecked,unchecked,Any_local_device,888_225,456_50000,IPv4_123_50000,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,unchecked,checked,unchecked,unchecked,2959816,5683b789d6213704dcb9262d9f84a160ce13d82547947fbe9f4998a9fdb5b01758f221b68684abb63adc1fd22e3020f98d3af729e2a30c3dcb2d3c8b501bf506,,4050_years,Man,Masters_degree_e.g._MA_MS__MEd,Student,20000_to_34999,200147,5683b789d6213704dcb9262d9f84a160ce13d82547947fbe9f4998a9fdb5b01758f221b68684abb63adc1fd22e3020f98d3af729e2a30c3dcb2d3c8b501bf506,,checked,checked,checked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Inject_a_malicious_statement_to_the_database_through_a_website,I_Do_not_Know,Block_Hypertext_Transfer_Protocol_daemon,15,None,Once_every_year_or_less,unchecked,unchecked,unchecked,checked,checked,unchecked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,255811,5683b789d6213704dcb9262d9f84a160ce13d82547947fbe9f4998a9fdb5b01758f221b68684abb63adc1fd22e3020f98d3af729e2a30c3dcb2d3c8b501bf506,,1,10,3,7,1,10,3,10,3,8,75685,5683b789d6213704dcb9262d9f84a160ce13d82547947fbe9f4998a9fdb5b01758f221b68684abb63adc1fd22e3020f98d3af729e2a30c3dcb2d3c8b501bf506,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/plain,chshan,3,checked,checked,unchecked,unchecked,unchecked,unchecked,Any_local_device,Any_Port,Any_port_number,IPv4_123_50000,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,999066,6e3ba6c34820a953b6c18deb86081105b7e5b1b957ccec089369fc79e1e94fef7adab75966d9e76f97e1df4f563c5827bbd0ab176a7af7c8fe65b1ccc7a998af,,1830_years,Man,Bachelors_degree_e.g._BA_BS,Employed_part_time_less_than_40_hours_per_week,Less_than_20000,83521,6e3ba6c34820a953b6c18deb86081105b7e5b1b957ccec089369fc79e1e94fef7adab75966d9e76f97e1df4f563c5827bbd0ab176a7af7c8fe65b1ccc7a998af,,checked,checked,checked,checked,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,Inject_a_malicious_statement_to_the_database_through_a_website,I_Do_not_Know,Block_Hypertext_Transfer_Protocol_daemon,15,A_few_months_less_than_a_year,Once_every_year_or_less,unchecked,unchecked,unchecked,checked,unchecked,checked,checked,unchecked,checked,checked,checked,checked,checked,checked,checked,checked,unchecked,checked,checked,unchecked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,198937,6e3ba6c34820a953b6c18deb86081105b7e5b1b957ccec089369fc79e1e94fef7adab75966d9e76f97e1df4f563c5827bbd0ab176a7af7c8fe65b1ccc7a998af,,3,5,4,4,6,6,5,7,3,5,58510,6e3ba6c34820a953b6c18deb86081105b7e5b1b957ccec089369fc79e1e94fef7adab75966d9e76f97e1df4f563c5827bbd0ab176a7af7c8fe65b1ccc7a998af,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/plain,dderman,4,unchecked,checked,unchecked,unchecked,unchecked,unchecked,Any_local_device,888_225,888_225,IPv4_123_50000,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,739172,eba3a1c8ac40017e3ffe69c1fc384e4e69d3d39347a572ed14b9fb0ad4ecf57c6813a9078f6cbeb18116aef036d1c42804fd9854c82fee15a4cf16af451e12ac,,1830_years,Man,Masters_degree_e.g._MA_MS__MEd,Student,50000_to_74999,80232,eba3a1c8ac40017e3ffe69c1fc384e4e69d3d39347a572ed14b9fb0ad4ecf57c6813a9078f6cbeb18116aef036d1c42804fd9854c82fee15a4cf16af451e12ac,,checked,checked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Inject_a_malicious_virus_to_the_database_SQL_engine,Passive_IDS_is_included_in_a_Firewall_while_reactive_IDS_is_a_standalone_network_component,Block_Hypertext_Transfer_Protocol_daemon,510,15_years,Once_every_month,checked,unchecked,unchecked,checked,unchecked,checked,unchecked,checked,checked,checked,checked,checked,checked,checked,unchecked,checked,unchecked,checked,unchecked,unchecked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,189749,eba3a1c8ac40017e3ffe69c1fc384e4e69d3d39347a572ed14b9fb0ad4ecf57c6813a9078f6cbeb18116aef036d1c42804fd9854c82fee15a4cf16af451e12ac,,7,5,7,4,6,1,4,3,6,4,64257,eba3a1c8ac40017e3ffe69c1fc384e4e69d3d39347a572ed14b9fb0ad4ecf57c6813a9078f6cbeb18116aef036d1c42804fd9854c82fee15a4cf16af451e12ac,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/plain,hdeshpa,2,unchecked,checked,unchecked,unchecked,unchecked,unchecked,Any_local_device,777_123,456_50000,IPv6_225_123,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,unchecked,checked,unchecked,unchecked,1537618,bdcdbb6eed109217fbe5aea730f63b80c572d1867a33e6ad0a5261a2e08a7e6222ea478579a9648b1125f085e4af8aab3dd36fdec63067abb245b101880683bc,,1830_years,Woman,Bachelors_degree_e.g._BA_BS,Employed_part_time_less_than_40_hours_per_week,Less_than_20000,110385,bdcdbb6eed109217fbe5aea730f63b80c572d1867a33e6ad0a5261a2e08a7e6222ea478579a9648b1125f085e4af8aab3dd36fdec63067abb245b101880683bc,,checked,checked,checked,checked,unchecked,checked,unchecked,checked,unchecked,checked,unchecked,checked,Inject_a_malicious_statement_to_the_database_through_a_website,Reactive_IDS_can_reprogram_the_Firewall_and_passive_IDS_does_not,Block_Hypertext_Transfer_Protocol_daemon,15,A_few_months_less_than_a_year,Once_every_year_or_less,checked,checked,unchecked,checked,unchecked,checked,unchecked,unchecked,checked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,checked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,551031,bdcdbb6eed109217fbe5aea730f63b80c572d1867a33e6ad0a5261a2e08a7e6222ea478579a9648b1125f085e4af8aab3dd36fdec63067abb245b101880683bc,,6,4,5,1,8,1,5,2,5,2,97173,bdcdbb6eed109217fbe5aea730f63b80c572d1867a33e6ad0a5261a2e08a7e6222ea478579a9648b1125f085e4af8aab3dd36fdec63067abb245b101880683bc,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/plain,jaastemp,3,unchecked,checked,unchecked,unchecked,unchecked,unchecked,Motion,777_123,888_225,IPv4_123_50000,No,1_local_device__2_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,1267016,8400d737f6538a2c423c6b5c0a1793ca549464dc27e043e7dadc06b1be6589e1552770886502b9bd0446d02b6e0be0ab3cbd92664e37b75005449ff6b0ba424d,,1830_years,Man,High_school_degree_or_equivalent_e.g._GED_Some_college_no__degree,Student,Less_than_20000,92260,8400d737f6538a2c423c6b5c0a1793ca549464dc27e043e7dadc06b1be6589e1552770886502b9bd0446d02b6e0be0ab3cbd92664e37b75005449ff6b0ba424d,,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,checked,checked,unchecked,unchecked,unchecked,Inject_a_malicious_statement_to_the_database_through_a_website,Reactive_IDS_can_reprogram_the_Firewall_and_passive_IDS_does_not,Block_Hypertext_Transfer_Protocol_daemon,15,A_few_months_less_than_a_year,Once_every_week,unchecked,unchecked,unchecked,checked,unchecked,unchecked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,unchecked,checked,checked,unchecked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,602870,8400d737f6538a2c423c6b5c0a1793ca549464dc27e043e7dadc06b1be6589e1552770886502b9bd0446d02b6e0be0ab3cbd92664e37b75005449ff6b0ba424d,,3,5,3,6,3,1,8,9,6,3,70819,8400d737f6538a2c423c6b5c0a1793ca549464dc27e043e7dadc06b1be6589e1552770886502b9bd0446d02b6e0be0ab3cbd92664e37b75005449ff6b0ba424d,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/plain,jesszhu,3,checked,checked,unchecked,unchecked,unchecked,unchecked,Smartfridge,777_123,888_225,IPv4_123_50000,No,3_local_devices__0_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,unchecked,checked,unchecked,unchecked,2742571,5d7f3375e106168bee12c2b5f214800947688cb03df048a69843ef73d0bb019640fe4777e5d20d6dd2fb88e83719f7f339b53e13a8294a97bca0d4e74642e70b,,1830_years,Woman,Bachelors_degree_e.g._BA_BS,Student,Prefer_not_to_disclose,136474,5d7f3375e106168bee12c2b5f214800947688cb03df048a69843ef73d0bb019640fe4777e5d20d6dd2fb88e83719f7f339b53e13a8294a97bca0d4e74642e70b,,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,checked,Inject_a_malicious_virus_to_the_database_SQL_engine,Reactive_IDS_can_reprogram_the_Firewall_and_passive_IDS_does_not,Block_Hypertext_Transfer_Protocol_daemon,15,A_few_months_less_than_a_year,Once_every_month,checked,unchecked,unchecked,checked,unchecked,checked,unchecked,unchecked,checked,checked,checked,checked,checked,checked,unchecked,unchecked,checked,checked,checked,unchecked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,303643,5d7f3375e106168bee12c2b5f214800947688cb03df048a69843ef73d0bb019640fe4777e5d20d6dd2fb88e83719f7f339b53e13a8294a97bca0d4e74642e70b,,6,2,5,2,7,2,7,2,5,8,77732,5d7f3375e106168bee12c2b5f214800947688cb03df048a69843ef73d0bb019640fe4777e5d20d6dd2fb88e83719f7f339b53e13a8294a97bca0d4e74642e70b,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/plain,mnrusimh,4,checked,checked,unchecked,unchecked,unchecked,unchecked,Vase,777_123,888_225,IPv4_225_123,No,2_local_devices__2_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,8471142,1bef67e7b9edd8cdcb8515b6ccfae0c68a910ffb2db34be5279cfbd25e594a0996d186af6eedd05c6a14197fb02013ef468bc01349e55ec996da3ece756c7a90,,4050_years,Man,Masters_degree_e.g._MA_MS__MEd,Employed_full_time_40_or_more_hours_per_week,50000_to_74999,185936,1bef67e7b9edd8cdcb8515b6ccfae0c68a910ffb2db34be5279cfbd25e594a0996d186af6eedd05c6a14197fb02013ef468bc01349e55ec996da3ece756c7a90,,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,checked,unchecked,unchecked,Inject_a_malicious_statement_to_the_database_through_a_website,I_Do_not_Know,Block_File_Transfer_Protocol_daemon,510,15_years,Once_every_year_or_less,checked,checked,unchecked,checked,unchecked,unchecked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,unchecked,checked,checked,unchecked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,354306,1bef67e7b9edd8cdcb8515b6ccfae0c68a910ffb2db34be5279cfbd25e594a0996d186af6eedd05c6a14197fb02013ef468bc01349e55ec996da3ece756c7a90,,5,2,2,9,10,6,3,3,7,8,70426,1bef67e7b9edd8cdcb8515b6ccfae0c68a910ffb2db34be5279cfbd25e594a0996d186af6eedd05c6a14197fb02013ef468bc01349e55ec996da3ece756c7a90,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/plain,nabsahoo,2,checked,checked,unchecked,unchecked,unchecked,unchecked,Any_local_device,888_225,888_225,IPv4_123_50000,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,2841285,acdaceeaa19e83bc06d59db69ae33d5a31669dd705db0ceded51f3314ebe862a76b6d4dabdb9d50bf3b7c4163389a359d3e8c4a1d911e67fb27a77b0259e7cec,,1830_years,Man,Bachelors_degree_e.g._BA_BS,Student,Less_than_20000,14291,acdaceeaa19e83bc06d59db69ae33d5a31669dd705db0ceded51f3314ebe862a76b6d4dabdb9d50bf3b7c4163389a359d3e8c4a1d911e67fb27a77b0259e7cec,,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,Inject_root_user_privileges_to_a_regular_user_without_using_the_graphical_user_interface_GUI_of_the_database,Reactive_IDS_can_reprogram_the_Firewall_and_passive_IDS_does_not,Block_Hypertext_Transfer_Protocol_daemon,510,510_years,Once_every_month,checked,checked,checked,checked,unchecked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_binary_switches_that_are_used_for_accessing_objects,478652,acdaceeaa19e83bc06d59db69ae33d5a31669dd705db0ceded51f3314ebe862a76b6d4dabdb9d50bf3b7c4163389a359d3e8c4a1d911e67fb27a77b0259e7cec,,8,5,9,1,9,3,9,3,10,1,68697,acdaceeaa19e83bc06d59db69ae33d5a31669dd705db0ceded51f3314ebe862a76b6d4dabdb9d50bf3b7c4163389a359d3e8c4a1d911e67fb27a77b0259e7cec,,
